,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,5365143,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
2,"Agora Vai Sentar","MC's Jhowzinho & Kadinho",2783490,https://open.spotify.com/track/0pDaqgIForVNO4jrtTxcWT
3,Downtown,Anitta,2710187,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
4,"Amar Amei","Mc Don Juan",2542656,https://open.spotify.com/track/1kNVJQEkobOlyfbctPZ4fs
5,"Deixa Ela Beijar","Matheus & Kauan",2385679,https://open.spotify.com/track/7q5agbUOzZnVF4Yes3AD7I
6,"Havana (feat. Young Thug)","Camila Cabello",2342639,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
7,Rabiola,"MC Kevinho",2322195,https://open.spotify.com/track/228vRHzGfQh47EfLjuY1Yr
8,"Apelido Carinhoso","Gusttavo Lima",2172800,https://open.spotify.com/track/6wXYGqXCLtEHx4VDb2TPcM
9,"Permanecer (feat. MC G15)","Lucas Lucco",2163758,https://open.spotify.com/track/3sIMCkwUZbQbWeNOTG3ET4
10,"Que Tiro Foi Esse","Jojo Maronttinni",2082941,https://open.spotify.com/track/2ri2wEE24Tm7fOJ7sGiz7P
11,"Ritmo Mexicano","Mc Gw",1963401,https://open.spotify.com/track/6ZR7rT7vfwtY0EqyLeyAaO
12,"Deixe Me Ir - Acústico",1Kilo,1896649,https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO
13,"Ar-Condicionado No 15 - Ao Vivo","Wesley Safadão",1881012,https://open.spotify.com/track/5ac0YTpOaDX9wEYYyGCglL
14,"Never Be the Same","Camila Cabello",1794673,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
15,"Big Jet Plane",Alok,1791735,https://open.spotify.com/track/1xd3OqTbx17HutN7RfJOTj
16,"Regime Fechado - Ao Vivo","Simone & Simaria",1790170,https://open.spotify.com/track/6UZJOc2HBrTp9DYfir9N8n
17,"Fazer Falta","Mc Livinho",1729083,https://open.spotify.com/track/6pSYjx66rlqRmGGTHhnjCo
18,Contrato,"Jorge & Mateus",1707585,https://open.spotify.com/track/12lOxvml5EBvSCzQll7xVS
19,"Raspão (feat. Simone & Simaria) - Ao Vivo","Henrique & Diego",1680188,https://open.spotify.com/track/6gquljDBW7rE6mCBzmTRxo
20,"Amor Da Sua Cama","Felipe Araújo",1669039,https://open.spotify.com/track/2cwFhwT6L2D4Olc25nhyZo
21,"Pesadão (Participação especial Marcelo Falcão)",IZA,1660253,https://open.spotify.com/track/1BkyiAw1L0BOHYckwpRX4V
22,"Azul Piscina","Mc Livinho",1632713,https://open.spotify.com/track/7ieFtgZBYSC94nGs5yF0Wk
23,Encaixa,"MC Kevinho",1628114,https://open.spotify.com/track/7yYOMPwpV5CsK0cxoAZT6B
24,"New Rules","Dua Lipa",1601255,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
25,"Troféu do Ano","Jerry Smith",1558665,https://open.spotify.com/track/7CtFr21TzdM4ntuBkwzpxg
26,"Vidinha de Balada - Ao Vivo","Henrique & Juliano",1517211,https://open.spotify.com/track/2g2ZjM1GjY9Lf2Ff0L94Ul
27,Abusadamente,"MC Gustta",1476872,https://open.spotify.com/track/7vgNGxchhqDQWjKjLPTPro
28,"Coladinha em Mim - Ao Vivo","Gustavo Mioto",1460552,https://open.spotify.com/track/4JPSfCXQe6kDliMIJTqISW
29,rockstar,"Post Malone",1453919,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
30,"Paga De Solteiro Feliz","Simone & Simaria",1417661,https://open.spotify.com/track/77vZMrfbZIgGKBcFe3MsD7
31,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",1410496,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
32,"Quase - Ao Vivo","Cleber & Cauan",1393236,https://open.spotify.com/track/1504k2wy349EtgioaW78Ht
33,"A Mala É Falsa - Ao Vivo","Felipe Araújo",1390663,https://open.spotify.com/track/6BPt2sVRvE41rUixcCAHY6
34,"Corpo Sensual (feat. Mateus Carrilho)","Pabllo Vittar",1282222,https://open.spotify.com/track/4kkQGhScJDzNIIGavQE9SN
35,"Cara Bacana","MC G15",1281974,https://open.spotify.com/track/4BjPsq3MXBNo4Qxg40igEr
36,"Dona Maria","Thiago Brava",1279350,https://open.spotify.com/track/0dGqIEsFN3KakdPCMkgjre
37,"Amigo Taxista","Zé Neto & Cristiano",1278360,https://open.spotify.com/track/6LEFk0KHRfahO5pOMJlbdV
38,"Cê Acredita - Ao Vivo","João Neto & Frederico",1277051,https://open.spotify.com/track/5JZlDZzWPbrYwMHmnOQO3U
